# ---------
# Telescope
# ---------
# Location: MZS, Antarctica
# Antenna diameter: 2.0 m
# Frequency: 100 GHz
#
# ------------
# File columns
# ------------
# map_id: map identifier
# timestamp: time when the telescope pointed at the Sun's centroid [ISO 8601]
# azimuth: of the Sun's centroid from ephemerides [deg]
# elevation: of the Sun's centroid from ephemerides [deg]
# offset_az: observed azimuth - solar azimuth [deg]
# offset_el: observed elevation - solar elevation [deg]
# temperature: °C
# pressure: hPa
# humidity: relative humidity, fraction (0..1)
#
# ----------------------
# Additional information
# ----------------------
# Generated with software version: 2025.08.05
# Created at: 2025-10-27T08:32:50Z

map_id	timestamp	azimuth	elevation	offset_az	offset_el	temperature	pressure	humidity
250103T000235_OASI	2025-01-03T00:17:27.951Z	14.6371	37.7863	-0.1182	0.0711	NaN	NaN	NaN
250103T003658_OASI	2025-01-03T00:51:51.954Z	4.6291	38.1664	-0.0935	0.0703	NaN	NaN	NaN
250103T011125_OASI	2025-01-03T01:26:19.329Z	354.5397	38.1508	-0.0968	0.0697	NaN	NaN	NaN
250103T014550_OASI	2025-01-03T02:00:44.664Z	344.5043	37.7393	-0.0985	0.0692	NaN	NaN	NaN
250103T022016_OASI	2025-01-03T02:35:10.752Z	334.5897	36.9472	-0.0930	0.0686	NaN	NaN	NaN
250103T025443_OASI	2025-01-03T03:09:37.162Z	324.8455	35.8043	-0.0935	0.0689	NaN	NaN	NaN
250103T032905_OASI	2025-01-03T03:43:58.052Z	315.3513	34.3558	-0.0899	0.0714	NaN	NaN	NaN
250103T040326_OASI	2025-01-03T04:18:37.334Z	306.0288	32.6046	-0.0746	0.0510	NaN	NaN	NaN
250103T043707_OASI	2025-01-03T04:52:00.152Z	297.2692	30.7335	-0.0757	0.0519	NaN	NaN	NaN
250103T051128_OASI	2025-01-03T05:26:21.689Z	288.4876	28.6504	-0.0725	0.0544	NaN	NaN	NaN
250103T202803_OASI	2025-01-03T20:56:46.016Z	69.6513	29.0374	-0.0795	0.0900	NaN	NaN	NaN
250103T213420_OASI	2025-01-03T22:03:06.215Z	52.3857	32.8445	-0.0865	0.0860	NaN	NaN	NaN
250103T224044_OASI	2025-01-03T23:09:30.414Z	34.2106	35.8359	-0.0852	0.0841	NaN	NaN	NaN
250103T235133_OASI	2025-01-04T00:20:43.359Z	13.8137	37.7322	-0.1198	0.0731	NaN	NaN	NaN
250104T005810_OASI	2025-01-04T01:27:41.313Z	354.3152	38.0392	-0.0591	0.0659	NaN	NaN	NaN
250104T020447_OASI	2025-01-04T02:34:18.020Z	334.9934	36.8762	-0.0867	0.0618	NaN	NaN	NaN
250104T031122_OASI	2025-01-04T03:41:18.996Z	316.2312	34.3840	-0.0844	0.0574	NaN	NaN	NaN
250104T041705_OASI	2025-01-04T04:46:12.442Z	298.9178	30.9991	-0.0804	0.0536	NaN	NaN	NaN
250104T052329_OASI	2025-01-04T05:52:33.388Z	282.0874	26.9136	-0.0647	0.0532	NaN	NaN	NaN
250104T200112_OASI	2025-01-04T20:15:11.618Z	80.1281	26.2682	-0.0771	0.0924	NaN	NaN	NaN
250104T203517_OASI	2025-01-04T20:49:42.474Z	71.5165	28.4684	-0.0815	0.0915	NaN	NaN	NaN
250104T210923_OASI	2025-01-04T21:23:49.131Z	62.7953	30.5381	-0.0882	0.0927	NaN	NaN	NaN
250104T214331_OASI	2025-01-04T21:57:57.697Z	53.8414	32.4501	-0.0908	0.0920	NaN	NaN	NaN
250104T221741_OASI	2025-01-04T22:32:07.889Z	44.6414	34.1528	-0.0920	0.0903	NaN	NaN	NaN
250104T225153_OASI	2025-01-04T23:06:20.693Z	35.1915	35.5976	-0.0937	0.0888	NaN	NaN	NaN
250104T232608_OASI	2025-01-04T23:40:37.279Z	25.5171	36.7346	-0.0855	0.0844	NaN	NaN	NaN
250105T000028_OASI	2025-01-05T00:14:57.869Z	15.6260	37.5301	-0.0984	0.0841	NaN	NaN	NaN
250105T003450_OASI	2025-01-05T00:49:45.517Z	5.5062	37.9342	-0.0911	0.0668	NaN	NaN	NaN
250105T010918_OASI	2025-01-05T01:24:12.130Z	355.4287	37.9529	-0.0997	0.0660	NaN	NaN	NaN
250105T021154_OASI	2025-01-05T02:26:24.926Z	337.3890	36.9817	-0.0935	0.0548	NaN	NaN	NaN
250105T024616_OASI	2025-01-05T03:00:23.907Z	327.7300	35.9707	-0.0932	0.0749	NaN	NaN	NaN
250105T032040_OASI	2025-01-05T03:35:10.127Z	318.0663	34.5686	-0.0843	0.0543	NaN	NaN	NaN
250105T035500_OASI	2025-01-05T04:09:28.171Z	308.7648	32.9284	-0.0801	0.0557	NaN	NaN	NaN
250105T042918_OASI	2025-01-05T04:43:47.574Z	299.6981	31.0608	-0.0782	0.0578	NaN	NaN	NaN
250105T050339_OASI	2025-01-05T05:18:28.188Z	290.7765	28.9868	-0.0773	0.0505	NaN	NaN	NaN
